ark,title_clean,date_clean,author_name_clean,author_type_clean,author_birth_clean,author_death_clean,publisher_name_clean,publisher_place_clean,type_clean,format,description,type,source,language,title,author,date,publisher,ocr_quality,topics,metatopics,occurences,occurences_ratio,publisher_place_country
bpt6k5710271q,"Où doit-on envoyer les scrofuleux pendant la mauvaise saison ? par Cazenave de La Roche,...",1888.0,"Cazenave de La Roche, Édouard",person,1824.0,1878.0,impr. de Daix frères,Clermont (Oise),monographie,"In-8° , 12 p.",Appartient à l’ensemble documentaire : Picardi1	Avec mode texte,printed monograph,"Bibliothèque nationale de France, département Sciences et techniques, 8-TE25-45",fre,"Où doit-on envoyer les scrofuleux pendant la mauvaise saison ? par Cazenave de La Roche,...","Cazenave de La Roche, Édouard (1824-1878). Auteur du texte",1888,impr. de Daix frères (Clermont (Oise)),97.0,"[16, 93, 90]","['Institutions / Transport', 'Eucalyptus / Propriétés Botaniques', 'Autres']",3,0.07354743809757,France Métropolitaine
bpt6k97649453,Bulletin,1888.0,Club alpin français,entity,,,G. Chamerot,Paris,presse généraliste,,01 janvier 1888	1888/01/01-1888/12/31.		Appartient à l’ensemble documentaire : MnS000,printed serial,"Fédération française des clubs alpins et de montagne, 2016-309536",fre,Bulletin / Club alpin français,Club alpin français. Auteur du texte,1888-01-01,G. Chamerot (Paris),99.0,[47],['Autres'],1,0.0009242742136737,Paris / Île de France
bpt6k54402794,Les Ouvriers des deux mondes,1888.0,Société d'économie sociale,entity,,,au siège de la Société internationale [des études pratiques d'économie sociale],Paris,presse généraliste,Nombre total de vues : 7369,"1888	1888 (SER2,T2,FASC10 = N56)-1889 (SER2,T2,FASC18 = N64).	Note : Avec titre général daté 1890.	Appartient à l’ensemble documentaire : PHILR000	Appartient à l’ensemble documentaire : PHILR001",printed serial,"Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-R-7312",fre,"Les Ouvriers des deux mondes : études sur les travaux, la vie domestique et la condition morale des populations ouvrières des diverses contrées et sur les rapports qui les unissent aux autres classes / publiées sous forme de monographies par la Société internationale des études pratiques d'économie sociale ; [sous la direction de Frédéric Le Play]",Société d'économie sociale. Auteur du texte,1888,au siège de la Société internationale [des études pratiques d'économie sociale] (Paris),96.0,"[36, 3, 14]","['Institutions / Transport', 'Malaria / Assainissement', 'Eucalyptus / Propriétés Botaniques']",2,0.0008258047467256,Paris / Île de France
bpt6k6554156r,Bulletin de la Société de géographie d'Anvers,1888.0,Koninklijk aardrijkskundig genootschap van Antwerpen,person,,,Guil. Van Merlen,Anvers,presse spécialisée,Nombre total de vues : 17848,1888	1888 (T13).	,printed serial,"Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 4-G-432",fre,Bulletin de la Société de géographie d'Anvers,Koninklijk aardrijkskundig genootschap van Antwerpen. Auteur du texte,1888,Guil. Van Merlen (Anvers),100.0,[17],['Faune et Flore'],1,0.0007703566751405,Europe
bpt6k874223v,"Cours de construction professé à l'École des beaux-arts. partie 1, Résistance des matériaux",1888.0,"Flamant, Alfred",person,1839.0,1915.0,Librairie des imprimeries réunies,Paris,monographie,1 vol. (III-438 p.) ; in-8,Avec mode texte,printed monograph,"Bibliothèque nationale de France, département Sciences et techniques, 8-V-9963",fre,"Cours de construction professé à l'École des beaux-arts. partie 1, Résistance des matériaux / publiée avec le concours de M. A. Flamant,...","Flamant, Alfred (1839-1915). Auteur du texte",1888,Librairie des imprimeries réunies (Paris),84.0,[2],['Eucalyptus / Propriétés Botaniques'],1,0.0008656359827565,Paris / Île de France
bpt6k1056284,Les Missions catholiques,1888.0,Oeuvre pontificale missionnaire de la Propagation de la foi,entity,,,Oeuvre de la propagation de la foi,Lyon,presse généraliste,Nombre total de vues : 39925,"1888	1888 (T20,N970)- (T20,N1021).		Appartient à l’ensemble documentaire : FranceJp0",printed serial,"Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 4-H-13",fre,Les Missions catholiques : bulletin hebdomadaire de l'Oeuvre de la propagation de la foi / directeur-gérant Stanislas Laverrière,Oeuvre pontificale missionnaire de la Propagation de la foi. Auteur du texte,1888,Oeuvre de la propagation de la foi (Lyon),89.0,"[0, 133, 108]","['Géographie', 'Description', 'Faune et Flore']",3,0.0005727365927136,Sud de la France
bpt6k7050427t,Les maladies de l'enfance,1888.0,"Jousset, Marc (Dr)",person,,,J.-B. Baillière et fils,Paris,monographie,1 vol. (XVI-446-2 p.) ; in-16,Avec mode texte,printed monograph,"Bibliothèque nationale de France, département Sciences et techniques, 8-TD36-138",fre,"Les maladies de l'enfance : description et traitement homoeopathique / par le Dr Marc Jousset,...","Jousset, Marc (Dr). Auteur du texte",1888,J.-B. Baillière et fils (Paris),89.0,[32],['Médecine/Médicaments'],1,0.0009505974504976,Paris / Île de France
bpt6k7051327s,Bulletin de la Société impériale d'agriculture d'Alger...,1888.0,Société d'agriculture (Alger),entity,,,,Alger,presse spécialisée,,1888	1888.	,printed serial,"Bibliothèque nationale de France, département Sciences et techniques, 8-S-1474",fre,Bulletin de la Société impériale d'agriculture d'Alger...,Société d'agriculture (Alger). Auteur du texte,1888,[s.n.] (Alger),88.0,[16],['Institutions / Transport'],1,0.0013346858149591,Afrique du Nord
bpt6k96092171,La vie des êtres animés ; Les conditions de la vie chez les êtres animés ; L'origine des êtres,1888.0,"Blanchard, Émile",person,1819.0,1900.0,G. Masson,Paris,monographie,1 vol. (XV-296 p.) ; in-18,Appartient à l’ensemble documentaire : CentSev001	Contient une table des matières	Avec mode texte,printed monograph,"Bibliothèque nationale de France, département Sciences et techniques, 8-S-5843",fre,"La vie des êtres animés ; Les conditions de la vie chez les êtres animés ; L'origine des êtres / par Émile Blanchard,...","Blanchard, Émile (1819-1900). Auteur du texte",1888,G. Masson (Paris),99.0,[79],['Géographie'],1,0.0016051106723808,Paris / Île de France
bd6t5340738s,Bulletin mensuel des oeuvres de la jeunesse,1888.0,Conseil général de l'Oeuvre des patronages de la Seine,entity,,,Jules Vic,Paris,presse officielle,,01 janvier 1888	1888/01/01 (N61)-1888/12/31 (N72).		Appartient à l’ensemble documentaire : BibICP,printed serial,"Institut Catholique de Paris, 2022-160078",fre,Bulletin mensuel des oeuvres de la jeunesse / publié sous la direction du Conseil général de l'Oeuvre des patronages de la Seine,Conseil général de l'Oeuvre des patronages de la Seine. Auteur du texte,1888-01-01,Jules Vic (Paris),90.0,"[93, 11, 11]","['Eucalyptus / Propriétés Botaniques', 'Industrie / Production', 'Industrie / Production']",3,0.0011631017597729,Paris / Île de France
